path,file_type,elf_class,endianness,machine,machine_value,elf_type,linkage,interpreter,dt_needed,rpath,runpath,symbol_versions,build_id,stripped,sha256
/usr/bin/kbxutil,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libksba.so.8;libgpg-error.so.0;libgcrypt.so.11;libc.so.6,,,GCRYPT_1.2;GLIBC_2.14;KSBA_0.9,,yes,ce965f890f7841bbe7c9ad551c1b1f429162135b712cc7b5c954ff7c75d12d0e
/usr/bin/last.sysvinit,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,90258a0ae20a0a992e6464edca30cc4d0d54cb89b2b4cf5f791d6c2321491c48
/usr/bin/lastlog,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,898729458154c643fc53e6863c7297a145056371a955ffe809ab06a6a3f376ba
/usr/bin/lsattr,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libe2p.so.2;libcom_err.so.2;libc.so.6,,,GLIBC_2.14,,yes,8d1002fecd8444a670753ec89d9f5318e1234375ea6fc368e77c02969c0fabbe
/usr/bin/mckey,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libibverbs.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;IBVERBS_1.1;RDMACM_1.0,,yes,1515633276bc79e02440e4ad45272bc6e9a142dd43d43612b5ef2131b694a2ea
/usr/bin/mergesolv,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,0f4aea0a6320bdedf91abaf679008142c18c0f979a5ccfbb6bb97e8eabce99d9
/usr/bin/mesg.sysvinit,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libc.so.6,,,GLIBC_2.14,,yes,2503acdd9c3b8c6445a986cc3e55a402be9311369540c6e7582a915b9f302801
/usr/bin/newgrp.shadow,"setuid ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libcrypt.so.1;libc.so.6,,,GLIBC_2.14,,yes,1d3db8dc0cdc8769fc581cd6bfd7224bd705a5ebbef0ed3e0800e59caa721f86
/usr/bin/passwd.shadow,"setuid ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libpam_misc.so.0;libpam.so.0;libc.so.6,,,GLIBC_2.14;LIBPAM_1.0;LIBPAM_MISC_1.0,,yes,b00e72a0faa7a94fab88188514b016239be98afd258266383980cc586a750659
/usr/bin/pgrep.procps,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,3ffa57c0c9d21d1b51431af04492c2d1947e7d8443a24bfbe36ae341f1b2a4aa
/usr/bin/pkill.procps,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,3ffa57c0c9d21d1b51431af04492c2d1947e7d8443a24bfbe36ae341f1b2a4aa
/usr/bin/pmap.procps,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,549de888a884a0bb2b4aa25f81023fb8b45294fd32a4aea058b4473636292124
/usr/bin/pwdx.procps,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libproc-3.2.8.so;libc.so.6,,,GLIBC_2.14,,yes,98bfd80c55e2d0ba465a7eae00f2dbed60004dbf71fc6ac6f4b775a4f637083a
/usr/bin/rcopy,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;RDMACM_1.0,,yes,230d245da3edef0922c8e8a4d16fad88de32977b46eb6e0ea053b8709c052e06
/usr/bin/rdma_bw,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libibverbs.so.1;librdmacm.so.1;libc.so.6,,,GLIBC_2.14;IBVERBS_1.0;IBVERBS_1.1;RDMACM_1.0,,yes,ed66c519f3ee79197105f5dfdba53bd62ee95349702a5715f98e54a0e8bb6202
/usr/bin/rdma_client,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libibverbs.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;IBVERBS_1.1;RDMACM_1.0,,yes,fadc4d456aa5b57470d7cf87bff7df1f43dc2363323ff43edc4e73845a67c4a2
/usr/bin/rdma_lat,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libibverbs.so.1;librdmacm.so.1;libc.so.6,,,GLIBC_2.14;IBVERBS_1.1;RDMACM_1.0,,yes,3e7b7a34fdaa684a758ac0b2ab79db53e5342a4760884b2be9c8836ac6b10098
/usr/bin/rdma_server,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libibverbs.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;IBVERBS_1.1;RDMACM_1.0,,yes,0c3731a569806a751181d5c03b7644e81e0014fb8653f13e4d866055c5144070
/usr/bin/rdma_xclient,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libibverbs.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;IBVERBS_1.1;RDMACM_1.0,,yes,b644cc1748ad5ce2b3cda5b39fb8bc01e5d9191d7b95334ed0df15ba3f8d422f
/usr/bin/rdma_xserver,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libibverbs.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;IBVERBS_1.1;RDMACM_1.0,,yes,1adcfc68b5742348e167e07dc9408e869a4c9b903a277368080ce5194bbd214a
/usr/bin/repomdxml2solv,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,libexpat.so.1;libc.so.6,,,GLIBC_2.14,,yes,0c91b8c97ce29ca6ce10219e61621da9e2de1aa8e8694e47dbf04b2c23b8a214
/usr/bin/riostream,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;RDMACM_1.0,,yes,5359f094e3d700eb1d97199057210e39046b9be527252530c35cbe53280a4dc2
/usr/bin/rping,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librdmacm.so.1;libibverbs.so.1;libpthread.so.0;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;IBVERBS_1.0;IBVERBS_1.1;RDMACM_1.0,,yes,c807232311be0f94013d40b9cb4fb79085b4333ab52ec4025f4513329433440a
/usr/bin/rpm,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librpmbuild-5.4.so;librpm-5.4.so;librpmdb-5.4.so;librpmio-5.4.so;librpmmisc-5.4.so;libm.so.6;libdl.so.2;libacl.so.1;libattr.so.1;libpcreposix.so.0;libdb-5.1.so;libmagic.so.1;libbz2.so.0;libpopt.so.0;libpthread.so.0;librt.so.1;libelf.so.1;libz.so.1;libssl.so.1.0.0;libcrypto.so.1.0.0;libpcre.so.1;libc.so.6,,,GLIBC_2.14;GLIBC_2.2.5;LIBPOPT_0;LIBRPMBUILD_0;LIBRPMDB_0;LIBRPMIO_0;LIBRPMMISC_0;LIBRPM_0,,yes,cfbcf794f72f5206de68aca5107781fb1fd25df1da9685fceb1221d4d266214f
/usr/bin/rpmconstant,"ELF 64-bit LSB executable, version 1 (SYSV), dynamically linked (uses shared libs), for GNU/Linux 2.6.16, stripped",ELF64,"2's complement, little endian",Intel K1OM,181,EXEC (Executable file),dynamically linked,/lib64/ld-linux-k1om.so.2,librpmconstant-5.4.so;librpmio-5.4.so;libm.so.6;librpmmisc-5.4.so;libdl.so.2;libacl.so.1;libattr.so.1;libpcreposix.so.0;libdb-5.1.so;libmagic.so.1;libbz2.so.0;libpopt.so.0;libpthread.so.0;librt.so.1;libelf.so.1;libz.so.1;libssl.so.1.0.0;libcrypto.so.1.0.0;libpcre.so.1;libc.so.6,,,GLIBC_2.14;LIBPOPT_0;LIBRPMCONSTANT_0,,yes,676042969aaa2222cf7cd76fd4acc88d009426b6e9659a0679b38b537068b1df
